Neighborhood,Boundary_Type,CodeID,Centroid_Lat,Centroid_Lon,Area_sq_km,Environment_Type,Transit_Stop_Count,Metro_Station_Count,Accessible_Stop_Count,Unique_Route_Count,Transit_Stop_Density_per_sqkm,Transit_Route_Density_per_sqkm,Nearest_Campus_by_Centroid,Distance_to_Nearest_Campus_km,Average_Rent_Bachelor_CMA,Average_Rent_1BR_CMA,Average_Rent_2BR_CMA,Average_Rent_3BR_CMA,Vacancy_Rate_CMA_pct,Rental_Data_Granularity,Cafe_Count,Grocery_Count,Library_Count,Park_Count,Gym_Count,Amenity_Data_Status,Sample_Transit_Stops,Transit_Score_0_100,Campus_Access_Score_0_100,Affordability_Score_0_100,Amenity_Score_0_100,Current_Usability_Score_0_100
Montréal-Ouest,Ville liée,30,45.452764,-73.649078,1.42,Mixed urban/suburban,21,0,19,14,14.79,9.86,Concordia Loyola Campus,0.91,1050,1226,1575,2070,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",3,2,1,1,1,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Westminster / Westover, Westminster / Garden, Westminster / Radcliffe",50.6,98.9,50.4,31.5,53.5
Westmount,Ville liée,22,45.485348,-73.600724,4.02,Urban,82,0,81,29,20.41,7.22,Concordia SGW Campus,2.16,1063,1313,1788,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",28,9,1,6,10,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"The Boulevard / Victoria, René-Lévesque / Atwater, Atwater / Dorchester",49.7,90.7,53.0,33.2,52.9
Ville-Marie,Arrondissement,13,45.509345,-73.555543,21.5,Urban,501,16,430,75,23.3,3.49,UQAM,0.74,1290,1642,2250,2553,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",249,60,4,31,74,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"STATION ATWATER, Station Atwater, Station Atwater - Accès (A) boul De Maisonneuve",65.6,100.0,15.0,40.6,51.1
Le Plateau-Mont-Royal,Arrondissement,15,45.526103,-73.58075,8.14,Urban,355,3,338,36,43.59,4.42,UQAM,2.01,1083,1298,1346,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",194,50,4,33,53,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"STATION SHERBROOKE, Station Sherbrooke, Station Sherbrooke - Accès Est rue Berri",65.3,91.7,61.5,89.9,78.2
Côte-des-Neiges-Notre-Dame-de-Grâce,Arrondissement,20,45.484885,-73.631757,21.49,Mixed urban/suburban,658,9,619,51,30.62,2.37,Université de Montréal,2.36,903,1072,1326,1717,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",105,69,5,43,48,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"STATION DE LA SAVANE, Station De la Savane, Station De la Savane",58.9,89.4,68.0,35.3,59.0
Outremont,Arrondissement,23,45.51566,-73.608693,3.8,Urban,78,2,73,11,20.54,2.9,Université de Montréal,1.52,1005,1563,1346,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",41,12,1,8,12,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"STATION ÉDOUARD-MONTPETIT, STATION OUTREMONT, Station Outremont",41.1,94.9,57.8,44.6,57.3
Mont-Royal,Ville liée,12,45.509827,-73.651564,7.46,Mixed urban/suburban,158,1,149,27,21.17,3.62,Université de Montréal,2.88,1005,1214,1346,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",13,9,1,5,5,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"STATION ACADIE, Station Acadie, Station Acadie - Accès (B) boul de l'Acadie",42.0,86.0,64.6,13.9,46.6
Rosemont-La Petite-Patrie,Arrondissement,18,45.553348,-73.580424,15.88,Mixed urban/suburban,497,4,475,47,31.29,2.96,UQAM,4.53,1010,1055,1348,1750,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",81,59,4,37,37,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"STATION ROSEMONT, Station Rosemont, Station Rosemont",53.4,75.2,65.2,39.3,55.8
Le Sud-Ouest,Arrondissement,14,45.470753,-73.576816,18.1,Urban,343,7,303,39,18.95,2.15,Concordia SGW Campus,2.96,1190,1250,1563,1623,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",114,39,3,26,38,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"STATION ANGRIGNON, Station Angrignon, Station Angrignon",45.0,85.5,56.1,28.8,50.2
Villeray-Saint-Michel-Parc-Extension,Arrondissement,19,45.555753,-73.620322,16.48,Mixed urban/suburban,490,5,459,45,29.73,2.73,Université de Montréal,5.88,822,980,1344,1625,2.3,"CMHC Rental Market Survey, Oct 2025, neighbourhood-level average rent by bedroom type (some bedroom types use CMA fallback where suppressed)",80,58,4,36,36,Estimated via population/density modeling + web research (not a verified OSM/Overpass export). Approximate — recommended to replace with a real OSM export via overpass-turbo.eu when precision is needed.,"Station Jean-Talon, Station Jean-Talon - Accès rue Berri, STATION JARRY",52.8,66.4,72.8,37.2,55.1
